[00:00] Speaker_B | Five years just because of the floods bringing the ceilings down . So On its great joy .
"[02:23] Speaker_B | Yeah . So you're advising Wei-Xun that he should be using like any ontologies and propositional content that um D_F_K_I_ and T_N_O_ bank in the C_V_S_ repository , or or not ? That's what I'm not clear on ."
"[02:36] Speaker_A | Yeah , ma ma uh s"
[02:39] Speaker_A | Mm-hmm .
[02:43] Speaker_B | With our without . Mm-hmm . Okay .
"[03:01] Speaker_A | Yeah , yeah , yeah . Different feature combination , yeah ."
[03:11] Speaker_B | Can actually try . Mm-hmm . Yeah .
[03:22] Speaker_B | I don't know when they'll bank these by the way . Um 'cause that's it's not hub . So i it's one of these things where everybody's supposed to bank as many things as possible . So you know w
[03:40] Speaker_B | Yeah . But open .
"[03:57] Speaker_B | Yeah , it's not really an open domain task , yeah ."
[04:11] Speaker_D | Right .
"[04:15] Speaker_D | Sure , so we might find that when we move from what we thought was open domain , but on the hub , you know , our results go down when we truly are getting meeting yeah . So I mean that'll be interesting ."
"[04:24] Speaker_B | Mm-hmm . Yeah . That's quite reasonable . W we've got five ISCA meetings actually which are still uh an elicitation task , but they're not our domain . So that should help some ."
"[04:38] Speaker_D | Okay , well that's good ."
"[04:51] Speaker_D | So okay . So we wanna decide um what Wei-Xun should do next and maybe think about meeting in , I don't know , a month or something . Yeah , mm-hmm ."
"[05:02] Speaker_B | Yeah , just figure out how we're gonna help him to to try to make this more efficient ."
"[05:09] Speaker_D | Um so before we do that , can I just ask you a question about chunking ? In the beginning you said something about you were doing this chunking um and you're doing it on the ICSI data , but this was did you say it th wasn't picked up in AMI or you I I I was confused about w"
"[05:13] Speaker_A | Yeah , yes ."
"[05:24] Speaker_A | Uh uh yeah . Uh I mean I was supposed to chunk uh some part of the AMI meetings , you know , to see if the chunker channel switchboard works well enough or not . If not , then mm we have to use some kind of semi-superv supervised learning or some uh boot-strapping to to to do the chunking ."
[05:25] Speaker_B | Yeah .
[05:37] Speaker_D | Mm-hmm .
[05:44] Speaker_D | Mm-hmm .
[05:49] Speaker_D | And you and you haven't done it yet .
"[05:50] Speaker_A | No , no , 'cause I was a bit worried about uh this kind of uh discourse structure , yeah ."
[05:56] Speaker_D | Tha that's fine . So that's still on the agenda to do at some point .
[05:57] Speaker_A | Yeah .
"[05:59] Speaker_B | Yeah , but we should make sure we finish that off , because otherwise that work's just wasted , right ."
[06:04] Speaker_A | Yeah .
"[06:04] Speaker_B | We're gonna use chunks for something useful . Yeah , chunks are gonna be named entities if nothing else ."
[06:06] Speaker_A | Okay .
"[06:07] Speaker_D | Well so I mean right . Um or building blocks . I mean so I mean we have to think about how s chunking interacts with the automatic segmentation , you know . Because um Barbara was showing the low level ."
[06:25] Speaker_B | Automatic segmentation at which level ?
"[06:28] Speaker_B | Uh-huh . Dialogue act , yeah ."
[06:39] Speaker_B | Yeah .
"[06:43] Speaker_B | Yeah , and that's a problem . Yeah ."
[06:55] Speaker_D | Right . Yeah .
[07:03] Speaker_A | Mm-hmm .
"[07:16] Speaker_D | Periods . Oh , after uh right ."
[07:17] Speaker_C | Hmm . Mm-hmm .
"[07:22] Speaker_D | Okay . Right , okay . Good . So it sounds like well w"
"[07:29] Speaker_B | Well hold on . But when do we need chunking by ? And it you know , so y I don't like the idea that , you know , you start something and then eighteen months later you pick up to do the last ten percent of the work to finish it off or whatever . So it I like things kinda tidy . Right . So how much work is there left and when do we actually need it by would be useful to discuss ."
"[07:52] Speaker_D | Well , you wanted to do the chunking on the AMI data , right ? Because m"
[07:55] Speaker_A | Yeah .
"[08:07] Speaker_D | So we got stuck at some point on evaluation of chunking , right . The problem was you didn't have ICSI data that was hand labelled for chunks . And we decided labelling the ICSI data for chunks would be probably difficult and maybe not very useful . And so it it mi"
[08:17] Speaker_A | Or AMI data . N no .
"[08:34] Speaker_D | Okay , if there if there was if there was hand labelled data that you could evaluate again so train on some and evaluate on some , wouldn't that um 'cause you've trained on Switchboard , right , where there there are chunks . So if you had some ICSI data that you could maybe use , I don't know , um as a what's the n there's t there's a training set and then there's the development set and then there's the test set . Maybe you'd use some chunked ICSI stuff as development or something and do some last tweaks and then evaluate . But you know , w h I mean I can see why Wei-Xun didn't wanna spend his time chunking ICSI d"
[08:44] Speaker_A | Mm-hmm .
[08:53] Speaker_A | Yeah .
[09:02] Speaker_A | Mm-hmm .
[09:05] Speaker_B | Mm .
[09:24] Speaker_D | Which means we have to get some portion of the data hand-chunked .
[09:28] Speaker_B | Hand-chunked . Mm-hmm . But
"[09:33] Speaker_B | that shouldn't be that hard to do , right ? How much data do you need ?"
[09:38] Speaker_D | How much um well
[09:44] Speaker_D | in Switchboard . Switchboard is all chunked . Right .
[09:48] Speaker_A | Yeah .
"[09:48] Speaker_B | Yeah . They the data how much data you need was not a problem with the Switchboard 'cause he had lots . So he didn't have to think about how much . So we need to know how much data you need hand-chunked . And then uh how do you hand-chunk stuff , right . So you were were working on instructions for doing hand-chunking ."
[09:55] Speaker_D | Right .
[10:05] Speaker_A | Mm .
"[10:05] Speaker_D | No , you had Penn tree-bank parses , and you made chunks from that ."
"[10:07] Speaker_B | For Switchboard , yeah . But then he there were two possible options for uh for doing this on the AMI data . You could either um essentially go the same route as they did with the Switchboard um , you know , do the Penn tree-bank and then create the chunks off that , or you could chunk directly . And it wasn't clear to us which one of those two methods was the right way to do this ."
"[10:08] Speaker_A | Yeah , yeah , for Switchboard , yeah ."
[10:20] Speaker_D | Mm-hmm .
"[10:28] Speaker_A | Direct chunking , 'cause we are not going to in a tree out of the AMI data ."
"[10:35] Speaker_B | Right , well , so you'd have to produce as part of this exercise ."
[10:35] Speaker_D | Is anybody gonna parse ? Is any gonna try to anybody try to parse the AMI data ?
"[10:40] Speaker_B | You would've thought so , but I dunno ."
"[10:42] Speaker_A | Uh so th uh we uh D_F_K_I_ , 'cause they're working on some H_P_S_G_ parsing . Yeah , might be . Might be , yeah ."
"[10:47] Speaker_B | Oh yes , yeah , I'd forgotten about that ."
[10:48] Speaker_C | Mm-hmm .
"[10:54] Speaker_B | But that's not very similar . Well , I don't know very much about grammar . Is th is that similar enough that that this same method could apply that we derive chunks off the H_P_S_G_ output ?"
[11:05] Speaker_A | Uh if uh I'm I guess that if they're different then we might just uh write another script to do the translation .
[11:22] Speaker_A | Mm-hmm .
"[11:31] Speaker_A | Okay . Yeah , yeah . I need to look at some of to see ."
"[11:34] Speaker_D | Well they're using the E_R_G_ , right ? The which probably has a l maybe finer g uh which I believe has finer grained distinctions than , and different labels , than the Penn tree-bank ."
[11:43] Speaker_A | Mm-hmm .
"[11:45] Speaker_B | Yeah . And the mappings are can be cr pretty difficult for this , right ? Or is is easy to map between finer grained distinctions and coarser ones ?"
[11:55] Speaker_B | Think so ?
"[11:58] Speaker_A | Yeah , yeah ."
[12:03] Speaker_B | Yeah .
[12:04] Speaker_A | Okay .
"[12:10] Speaker_D | 'Cause they're doing this with Dan Flickinger , right ? Which is the same um parser as the Redwoods Tree-bank was made with that Alex talked about yesterday . So you can look at Redwoods parses"
[12:23] Speaker_A | Mm-hmm .
"[12:28] Speaker_D | um and see how different they are from tree-bank parses . And you might wanna talk to Alex to find out if somebody's already done this turn Redwoods stuff into tree-bank stuff so that they can compare , you know , against results that are reported on tree-bank ."
[12:42] Speaker_C | Mm-hmm .
"[12:44] Speaker_B | Huh . The names would suggest that this was the idea , right ."
"[12:48] Speaker_D | Well that was the idea I believe , but um"
[12:49] Speaker_B | Yeah .
[13:03] Speaker_B | Right . So y that sort of assumes that we think it's better to do this by deriving chunks from um some parsed format than just hand chunking the stuff .
[13:26] Speaker_B | Mm-hmm .
[13:39] Speaker_B | Yeah .
"[13:41] Speaker_B | So let's try it this way , and then that that puts off the question of um when do we have to do this to when we get H_P_S_G_ stuff , right ? So can you ask um D_F_K_I_ whether they can give us a couple AMI meetings run through their H_P_S_G_ process ? I don't even know what time scale they had in mind . I mean it is this something they w they were doing it at the moment , but I don't know whether this was very preliminary or do you remember ?"
[13:58] Speaker_A | Mm-hmm .
[14:07] Speaker_D | They talked about it at the meeting that we went to in
"[14:14] Speaker_A | Twenty minute , yeah ."
[14:14] Speaker_D | Twente .
"[14:14] Speaker_B | Twente , yeah ."
[14:14] Speaker_C | Mm-hmm .
[14:20] Speaker_C | Mm-hmm . Contact .
"[14:26] Speaker_D | You were there Jean . Yeah , okay ."
[14:28] Speaker_B | Yeah .
"[14:34] Speaker_D | No no no no , no no no , I I I know you missed a meeting and s and so there there may have been you missed the one in T_N_O_ ."
"[14:44] Speaker_A | T_N_O_ , yeah . Okay . Yeah , 'cause yeah they did some work bio project with the H_P_S_G_ parsing . At least bio . Yeah , well maybe . Okay . Yeah ."
[14:57] Speaker_B | Yeah .
"[14:58] Speaker_D | On on which project ? Sorry , I didn't get that . Verbmobil , right . Yes , yes , they did ."
[15:01] Speaker_B | Yeah .
[15:02] Speaker_C | Hmm .
"[15:05] Speaker_D | It well that's that's what Alex talked about yesterday , right . The parse I mean that's wasn't something she did , but that's the data she's using , right . So we have all that stuff here , you know , the parsed Verbmobil material . So you can look at that and see what the parse trees look like . You don't need to wait for D_F_K_I_ . And if it turns out that you think oh , there's no way I can map these into Penn tree-bank style bracketing , then then we have to think of something else , right ."
[15:05] Speaker_A | Okay .
[15:08] Speaker_A | Mm-hmm .
[15:15] Speaker_A | Mm-hmm .
[15:28] Speaker_A | No .
[15:37] Speaker_C | Mm-hmm .
"[15:42] Speaker_A | Okay , okay . Mm-hmm ."
[15:43] Speaker_C | Hmm .
"[15:45] Speaker_D | But I think they had that in mind . So it's it's worth also talking to her about that . Okay , good ."
"[15:55] Speaker_B | So it's talk to Alex , see if it looks like it maps by looking at the Verbmobil . If it does , ask D_F_K_I_ either for data or a time scale , and you're gonna need to know how much data you need in order to do that . So do you have a technique for estimating how much data you'd need ?"
[16:09] Speaker_A | Yeah .
"[16:16] Speaker_B | I don't know how you do that , so who knows how you do that ?"
[16:20] Speaker_D | Everybody always says there's no data like more data .
[16:27] Speaker_A | Okay .
[16:35] Speaker_A | Yeah .
"[16:36] Speaker_B | Yeah , I know ."
[16:37] Speaker_A | Yeah .
[17:01] Speaker_B | Yeah .
"[17:05] Speaker_B | Yeah . Well I gue if we did a chunked version of the AMI data and stuck it into C_V_S_ under the automatic contributions then um people would end up using it , 'cause they do that , right . So the question is at what stage should we put that in ?"
[17:13] Speaker_D | Mm-hmm .
[17:16] Speaker_D | Mm-hmm .
"[17:24] Speaker_B | Yeah , so post-evaluation so we can put in some idea of what the evaluation is like ."
[17:29] Speaker_D | Mm yeah . I mean otherwise
[17:32] Speaker_D | you get these very bizarre results because the data is not really very good .
[17:36] Speaker_B | Mm-hmm .
"[17:46] Speaker_B | No , but he's relying it on it th this summer ."
[17:59] Speaker_B | Mm-hmm .
"[18:06] Speaker_B | So when when do you think that would be ? When when is she sending somebody ? Oh for the next one , mm-hmm ."
"[18:08] Speaker_D | She just said that hopefully by the next meeting she would be bringing someone else , or someone else would be coming instead of her , remember ?"
[18:11] Speaker_C | Mm .
[18:15] Speaker_C | Mm-hmm .
"[18:21] Speaker_D | The th not to have not to have it done , but just to talk about how it could interact with automatic dialogue act segmentation . Um and we I guess we should talk to Yoshi about about it in relationship to named entities . Who's uh who's doing named entities besides Yoshi ? Okay . So we could talk to Vasilis about that as well ."
[18:27] Speaker_B | How it could be done .
[18:29] Speaker_B | Yeah .
"[18:59] Speaker_B | So and then we can evaluate on the ICSI , you know , pretty easily ."
"[19:04] Speaker_D | So one thing that would be very helpful for me because I haven't read I think we're in a situation where Jean , you know , has read a lot of literature and I've read a lot of literature and we there is some overlap , but there's also quite a big space where we don't know the literature from the other side . And since you're gonna be reading it , I mean it would be probably be useful if you made some kind of ,"
"[19:44] Speaker_B | Yeah , even if it's just a you know , on a Wiki the um the references and then why they're relevant , right . I mean you don't wanna make this really formal , or do you ? Yeah , a paragraph each . Yeah ."
[20:01] Speaker_A | Hmm hmm .
[20:01] Speaker_B | Yeah .
"[20:03] Speaker_B | But that wou that would help us be a lot more specific ab than than just um you know , listing bullet points on slides cause then we'd know sort of which literature you're thinking of um putting in and we could read the most important argumentative stuff ."
"[20:13] Speaker_A | Okay . Yeah , yeah . Yeah ."
"[20:15] Speaker_D | Well in any way , every time you write a paper , you've got to go back and do this related work thing anyway . So it just it just makes it a lot easier um to get that"
"[20:17] Speaker_B | I can have these things anyway , yeah ."
[20:21] Speaker_B | Yeah .
[20:25] Speaker_B | Mm-hmm .
"[20:25] Speaker_D | common ground I think , you know . I think it's a real advantage that we've read different things and come at it from a different side because I think this ha they the the previous approaches haven't really ,"
"[20:26] Speaker_A | 'Kay . Yeah , yeah ."
[20:37] Speaker_B | Mm-hmm . They haven't addressed this problem . Yeah .
"[20:38] Speaker_D | you know , taken you know , the good features from , you know , both sides and and tried to put them together ."
"[20:48] Speaker_B | Yeah . I'm gonna have to go very soon because I've got this um this hearing to go to . But uh so the practical actions , you know , what are the things we're gonna go away and do . Yeah ."
[20:49] Speaker_A | Hmm .
[20:55] Speaker_D | I can send you a l
"[21:12] Speaker_A | Yeah , yeah ."
"[21:16] Speaker_A | Okay . S so then later , yeah ? Okay ."
[21:23] Speaker_C | Yeah .
"[21:26] Speaker_C | Um right now d uh I'm doing I'm trying to do the uh meeting action segmentation . J because uh after talking to Jane um just uh we have different ideas whether uh meeting action will be about the same size as topic segments . So um it would be good to um t right now I'm doing this , um looking at the data and trying to see if I can do the meeting action segmentation first and the scheme , and then do topic segmentation again to see if the boundary actually coincide with each other . Yeah , if if that that do , then maybe we can talk again whether um i it it make sense . Mm-hmm ."
[21:31] Speaker_D | Mm-hmm .
[21:42] Speaker_D | Okay . Yeah . Mm-hmm .
[21:49] Speaker_D | Mm-hmm .
[21:56] Speaker_D | Mm-hmm .
[21:59] Speaker_D | Hmm . Yeah .
"[22:03] Speaker_B | Yeah . So you can do this exercise and then come and talk to me some time next week . I'm not in Monday , but the other days I'll be around . Mm-hmm ."
[22:25] Speaker_B | Yeah . Yeah . S
"[22:30] Speaker_B | Yeah , so this this is interesting , but i w I don't think we can afford to l um look at this right now . So why don't you bring it by um next week ? And i what I really wanna do concentrate just now is is finding out the how we're gonna help um Wei-Xun with with making progress on this . So we've already got you know , he's gonna um construct a list of the references he thinks is important , and Johanna and I and and you as well are gonna contribute to that . And we can put that on a Wiki or we can do it some other way . I mean you know I'm Wiki mad . So um if we share it , it should go on a Wiki 'cause I can't find anything in my email . But , you know , you don't have to do that ."
"[22:35] Speaker_C | Mm-hmm , right , sure . Yeah ."
[22:41] Speaker_C | Mm-hmm .
"[22:44] Speaker_C | Mm , sure . Yes ."
[22:45] Speaker_D | Mm-hmm .
[22:54] Speaker_C | Mm-hmm .
[22:58] Speaker_C | Mm-hmm . Hmm .
[22:58] Speaker_A | Okay .
"[23:04] Speaker_A | Yeah , it's yeah ."
[23:05] Speaker_C | Hmm .
"[23:06] Speaker_B | Um and then uh how do we you're actually so what you're doing is taking all of the the the most important references for um finding argument structure that might i eventually be of some use to a meeting browser and trying to look at actual data and apply and and see like which one helps you figure out what you're actually gonna do with this particular data , right . So it seems to me that we should take like the front-runner scheme and the data and you should look at not front-runner scheme but front-runner theory and i see if you can speak to the data , you know , using that kind of theory at some point . And might might be an interesting exercise , right ?"
"[23:49] Speaker_D | Well I think we need to um , like you mentioned earlier , um factor in what this might be used for in the end . And so even if it we won't it won't be used , maybe if it would need some higher level analysis before it could be directly used for that purpose , we should still keep that in mind . And so I think going through the presentations that um were given at the work package six meeting where um and I think it was um it wasn't wha was it Anita or was it oh I've forgotten her name , the other woman um from Twente , you know , they talked about"
[24:07] Speaker_B | The update .
[24:20] Speaker_B | Mm-hmm .
[24:23] Speaker_C | Hmm .
"[24:31] Speaker_D | they did they had done a lot of questionnaires , and they got some user requirements out of that . And then Steve presented um the results of following people around and looking at how they used their notes from meetings . And and so that would give us some ideas about , you know , what people want , you know , out of meeting records . But then we should also add things that we think are interesting . But just to have to keep some of these goals in mind 'cause they're t o one scheme might let you answer this set of questions but wouldn't help you at all with another set of questions ."
[24:46] Speaker_B | Mm-hmm .
[24:47] Speaker_C | Hmm .
"[24:59] Speaker_B | Yeah . But that's a good starting point , yeah ."
"[25:08] Speaker_B | That'll be the Exactly , yeah . So you wanna go through basically the user requirements and , you know , maybe think about some user requirements of your own and make a case for , you know , these are the kinds of things that we'd want , and look , you're gonna need um this kind of dialogue or argument structure for it ."
"[25:22] Speaker_D | So should we expect that all the slides from like the work package six meeting or the joint work package five work pa will be u up on one of the work package web sites ? And if not , how do we make that happen ?"
[25:32] Speaker_B | Um uh uh I'll think about that .
[25:36] Speaker_D | Hmm okay .
"[25:39] Speaker_D | Some of this was presented in at least the one spider phone or the second spider phone telecon I went to for work package six . So if they're not on the web we can try to look at that , you know , at the materials that were presented in that telecon without necessarily listening to the whole telecon . Yeah ?"
"[26:04] Speaker_D | And Steve m and his I've forgotten the name , is it was it Simon , his yeah . They they've I think they may have written this up um in a report um , but I wou would hope that's on the work package six web site as well ."
[26:08] Speaker_B | Yeah .
"[26:12] Speaker_B | Mm-hmm , yeah ."
"[26:17] Speaker_B | Yeah . Okay . So so we're gonna go through the requirements like that and did did you think that's that was reasonable to after that to try and um actually , you know , take some theory that seems fairly reasonable and think about the particular data and come and talk ?"
[26:37] Speaker_B | Yeah . I there's a few references missing . Yeah .
"[26:52] Speaker_B | Yep . So then try front-runner scheme on , well , a front-runner theory ."
"[26:56] Speaker_D | Or t or or two and see this one gives you this and this g and can't you know , are they fundamentally incompatible . Or can we yeah , mm-hmm ."
"[27:03] Speaker_B | Yeah . But try it informally . Yep , mm-hmm . When do we get together again ? 'Cause I really do have to go . I promised these guys I'd be there ."
[27:09] Speaker_D | Okay .
"[27:11] Speaker_D | I think this is gonna take about three weeks 'cause he's got plenty of reading to do . So maybe we get together again in the yeah , I mean , I'll send them the references immediately ."
[27:15] Speaker_B | Uh-huh . But w
"[27:17] Speaker_B | Reading lists before that though , so right ?"
[27:23] Speaker_A | Okay .
[27:26] Speaker_A | Sorry ? You mean mm .
"[27:31] Speaker_A | I will try my best , yeah ."
"[27:32] Speaker_D | If y if if it's too tight , you know , I think m we can say four . Or are you gonna be on holiday ?"
"[27:35] Speaker_A | Oh yeah . Uh I m I might yeah , 'cause uh Julie and the boy is here . So . it's a little tiring 'cause my parents have left . Uh yeah . So I might take two weeks off two weeks off in uh May , yeah , sometimes , yeah . Off , yeah . Okay , thanks ."
"[27:44] Speaker_D | Yeah . Maybe four weeks ? Okay . Okay . So we should get together probably in about four weeks , yes . So when are you gonna bring this beautiful baby in to see everybody ? Good , good . That's great ."
[27:44] Speaker_B | Uh-huh .
"[27:51] Speaker_B | Four weeks , yeah ."
"[27:56] Speaker_A | Uh yeah , hope I hope so very soon . Yeah . Yeah ."
[28:03] Speaker_C | Something . Sure .
[28:06] Speaker_B | Right . I'm gonna head off .
[28:07] Speaker_D | Yep . Well good luck solving your problem . I have to tick and tick ? It does something weird when you do that .
"[28:08] Speaker_A | Okay , thanks ."
[28:08] Speaker_C | Mm-hmm .
"[28:09] Speaker_B | C 'cause floods are more important than dialogue structure , I'm afraid ."
