[00:14] Speaker_B | Is that alright now ?
"[20:57] Speaker_B | Mm-hmm . Okay , so fifteen to thirty five , look fairly young . You know , they have bit of expendable income to spend on this sort of thing ."
[21:01] Speaker_D | Yeah .
[21:01] Speaker_A | Yeah .
[21:04] Speaker_D | Mm-hmm .
"[21:04] Speaker_A | I think perhaps that age group is significant as well because those are people who use the computer , who are familiar with their with computers in in their everyday work . I think people who are maybe about I wouldn't say thirty five , but people who are about forty-ish and above now would not be so dependent and reliant on a computer or a mobile phone or something like that . So these are people who are gadgety , right ? People who are u growing up used to , you know in schools and in universities , when you go on to their working lives , people who would you know regular Yeah . Yeah . Mm ."
[21:08] Speaker_D | Mm-hmm .
[21:13] Speaker_B | Yeah .
[21:13] Speaker_D | Mm-hmm .
[21:15] Speaker_D | Mm-hmm .
[21:18] Speaker_D | Mm-hmm .
[21:20] Speaker_D | Mm-hmm .
[21:21] Speaker_D | But yeah .
"[21:23] Speaker_D | Yeah , sure . Mm-hmm ."
[21:23] Speaker_B | Yeah .
[21:27] Speaker_B | Yeah .
"[21:32] Speaker_B | Yeah . So they'll not sh not shy away from something quite high-tech . That that's that's a good point . Um okay , so um so shall we make the decision uh to include speech recognition if we can ."
[21:35] Speaker_D | Yeah .
[21:46] Speaker_D | If we can .
"[21:47] Speaker_A | I I think one thing we should try not to avoid is not to say we have to use speech recognition right now , because um , based on what you've go y everybody's saying , right , you want something simple . You want basic stuff and you want something that's easy to use . Speech recognition might not be the simplest thing for somebody to use ."
[21:48] Speaker_C | Yeah .
[21:53] Speaker_D | Yeah .
[21:53] Speaker_B | Okay . Why is that ?
[22:04] Speaker_D | Right .
[22:04] Speaker_B | Okay .
[22:05] Speaker_D | Could it be an on off thing ? Like if you want it on Yeah .
"[22:07] Speaker_A | Um , but what I'm saying is that we're we're trying to lock ourselves into a s particular kind of technology , rather than focusing on on exactly what are the features that we're gonna say , and then , you know , say speech recognition is good for this , speech recognition is not good for this . So maybe we should I suggest that we think about speech recognition , anyway it's a it's something that can be used to fulfil a function , but at end of the day we don't look at the technology , but we look at the function first ."
[22:08] Speaker_B | Where you can activate it and deactivate it ?
[22:13] Speaker_B | Yeah .
[22:13] Speaker_D | Yeah .
[22:17] Speaker_D | Yeah . Sure .
[22:17] Speaker_B | Okay .
[22:22] Speaker_D | Sure . Yeah .
[22:23] Speaker_B | Okay .
[22:29] Speaker_B | Uh-huh .
[22:31] Speaker_D | Yeah .
"[22:32] Speaker_B | Okay . Uh okay , well do you wanna um give us your presentation and then then we can I don't know um might have been a good idea to all deliver our presentations and then discuss , but this is this is how we're Yeah , exactly , yeah . Oh it's something that's just occurred to me as well is if we make it um speech reco if we incorporate speech recognition , that's appealing to people um maybe with a physical disability as well . Um ."
[22:33] Speaker_D | Sure . Yep .
"[22:37] Speaker_A | Okay , sure ."
[22:38] Speaker_D | Yep .
[23:08] Speaker_B | Yeah .
[23:15] Speaker_B | Mm-hmm .
"[23:16] Speaker_C | I reckon one problem with speech recognition is um I've actually seen one of them used and uh the technology that was in that one wasn't particularly amazing , so you end up yelling at the control for hours . Channel up ."
"[23:24] Speaker_D | Right . Oh really , you've seen one before ."
[23:25] Speaker_B | Really ?
[23:26] Speaker_B | Do you think maybe we need like further advances in that kind of area until it's worthwhile incorporating it though ?
[23:32] Speaker_C | I think it'd probably quite expensive to put in .
"[23:34] Speaker_A | Sorry , do you mind passing me my notepad . Thanks ."
[23:34] Speaker_B | Mm . Course not . There you go .
"[23:37] Speaker_A | Cool , um . Okay . Um . Well this is just the working design um . Well this is just what how I would go about it . Um I guess I try to define like what we're doing now , try to define what we're trying to get done . Um I think in a practical way , we kind of know what it is . We've used it , we're familiar with it , but we're we can't n we haven't narrowed down um exactly what the things we're trying to fulfil , like Besides the basics , I think back in the back of our minds we know what the basics are . Has to change channels , has to change volume , but in like specifics , right , which one of the basics are you trying to target . Um are there certain parts of the basics that are more important or less important than the basics ? Um and I just the idea is just to get everybody to um I usually have a have have a design that's there as a basic , so , you know , things that to start everything going . But I guess everybody does have some idea , so I don't think um there's a need for that ."
[23:41] Speaker_B | Right .
[23:44] Speaker_B | Mm-hmm .
[23:54] Speaker_D | Right .
[24:15] Speaker_D | Mm-hmm .
"[24:36] Speaker_A | Um okay this finding things is a little bit confusing , so I'll go into the diagram first . It just explains how the process goes through , from a from the basic technology point of view , the basic steps that you need um in the diagram and in this slide probably works better . Um okay , you need some power source . 'Kay , a battery or something , to keep it going . Um and that power source is important because it ties you down to um how long the device will last . Um it ties you down perhaps a bit later on in terms of the technologies um how far you can transmit the signal or the complexity of the functions that you want . Like for example , voice recognition , right . That might be constrained because that you might need to power a microphone , you might need to power other things , so that's one perhaps constraint there . Um"
[24:45] Speaker_B | Mm-hmm .
[24:56] Speaker_B | Mm-hmm .
[25:04] Speaker_B | Uh-huh .
[25:13] Speaker_D | Mm-hmm .
[25:34] Speaker_B | Hmm .
[25:50] Speaker_D | Mm-hmm .
[25:51] Speaker_B | Mm-hmm .
[26:07] Speaker_B | Mm-hmm .
[26:18] Speaker_B | Okay .
[26:19] Speaker_D | Mm-hmm .
[26:23] Speaker_D | Mm-hmm . Okay .
[26:25] Speaker_B | Okay .
[26:25] Speaker_D | Mm-hmm .
[26:32] Speaker_D | 'Kay .
"[26:32] Speaker_B | Uh . Well , do you wan do you wanna finish up your your whole presentation then ? Are you are you all done ?"
[26:34] Speaker_D | Sure . Sure .
[26:43] Speaker_D | Yep .
[26:44] Speaker_B | Mm .
[26:47] Speaker_B | Okay .
[26:49] Speaker_B | Okay . Right .
[26:49] Speaker_D | Right .
"[26:50] Speaker_D | And like on the means b Since we're on the topic of the technology , uh are there any like what are our options ? Alright , what's what i in Is this the only way that we go about it , or are there other thin"
[26:55] Speaker_A | Yep .
"[27:03] Speaker_A | Um , these these aren't technology options in that sense . This is just um a basic principles and basic components that are needed . For example , if you needed um if you needed to add uh a voice recognition , right , then your user interface would be split , broken down into more components , right , which you have a microphone , the V_R_ and stuff like that . Uh"
[27:06] Speaker_D | Right .
[27:09] Speaker_B | Okay .
[27:10] Speaker_D | 'Kay .
[27:11] Speaker_D | Right .
[27:12] Speaker_B | Mm-hmm .
[27:21] Speaker_B | Mm-hmm .
[27:23] Speaker_B | Oh . So this just show how we're kind of modularising the whole thing . Okay .
[27:24] Speaker_D | Okay .
"[27:27] Speaker_A | Yep . Yep . So each component represents one function , but I think the basic functions are the logic , the transmitter , um and the receiver , okay , and the power are things that you won't have to care about . Um and those are things that based on what your user interface requires then we'll add more functionality to it . Um there might be one other consideration which would be that the the transmission between the remote control and the T_V_ for example . Okay , um are we gonna restrict ourselves to using the traditional technologies of infra-red thing ? Because that's something you need to actually be physically be pointing to . Right ."
[27:31] Speaker_B | Mm-hmm .
[27:35] Speaker_D | Mm-hmm .
[27:39] Speaker_D | Mm-hmm .
[27:39] Speaker_B | Yeah .
[27:43] Speaker_B | Mm-hmm .
[27:45] Speaker_B | Okay .
[27:53] Speaker_B | Okay .
[27:59] Speaker_B | Okay .
[28:03] Speaker_D | Right .
"[28:03] Speaker_B | Okay . Well well a worry that was was expressed in the new requirements was that if we made this too complex it would e it would effect um how long how long it took us to get this to market , so I th suspect it might be a good idea just to restrict our kind of our creative influence on this on the user interface and not worry so much about uh how we transmit it um because I mean it it's tried and tested intra-red , so we could stay with tha"
[28:23] Speaker_A | Yep .
"[28:27] Speaker_A | There might be one other problem with the transmission , um in particular right now , since we're talking about voice recognition . Um if somebody's gonna h talk to the device , you ideally want them to hold it to them . I it you may not require that , but you know , um it's it's it's something very natural , I guess , you know , to hold it , to signal to the user , and push a button maybe to start s talking about it . Then you need to send the signal out , so because if you're using infra-red , the line of sight um say the T_V_'s at that chair , and I'm standing in front of here and the transmitter is here , it blocks it . So in that sense , there's not really a restriction but it's something which you may have to think about later on in the process . Not so much further down ."
[28:37] Speaker_D | Right .
[28:39] Speaker_D | Right .
[28:47] Speaker_B | Okay .
[28:49] Speaker_B | Mm .
[28:52] Speaker_B | Mm .
[28:56] Speaker_B | Yeah .
[28:58] Speaker_B | Okay .
[29:01] Speaker_D | Right .
[29:04] Speaker_D | Okay .
[29:04] Speaker_B | Okay .
"[29:05] Speaker_D | And um just a clarification before we finish this . Uh does c is our controller is it have the option of being um on a standard uh frequency as all of the other equipment , so that the one controller can control several pieces of equipment ?"
"[29:19] Speaker_A | There's there's not much specific specific information , but I think that um one indication of infra-red mean that you're just targeting traditional devices . Because infra-red is something which everybody has ."
"[29:28] Speaker_B | Yeah . W Well well we've um In the new requirement spec they said just to focus on the T_V_ , so that's what we should do for now I think . Something I was wondering about was the power . Um , is it worth considering like having like a charging unit as opposed to just regular batteries ? I mean is that something we really want to go into , do you think , or should we just consider running on regular batteries ?"
[29:28] Speaker_D | Okay .
"[29:33] Speaker_D | Just to T_V_ , okay ."
[29:36] Speaker_D | Okay .
"[29:47] Speaker_A | There's a there's Okay , from from a from a component point of view there's added complexity , and you add cost to it , um and then there's probably the fact that you need another physical component . You need a docking cradle , for example , for you to put it in to charge . Or you need to get the user to plug it in . Um and most users are very f use already used to the idea of buying batteries and putting it into the controller . But unless the controller's gonna consume a lot of batteries , like he's gonna run through like twenty batteries a month , then I don't think rechargeable is something we should you know , we really need to care about . Um ."
[29:52] Speaker_B | Uh-huh .
[29:54] Speaker_B | Uh-huh .
[29:59] Speaker_D | Mm-hmm . Mm-hmm .
[30:00] Speaker_B | Yeah .
[30:02] Speaker_B | Okay .
[30:09] Speaker_B | Yeah .
[30:16] Speaker_B | Yeah .
[30:19] Speaker_D | Yeah .
[30:22] Speaker_B | Okay .
"[30:23] Speaker_B | Um , right . So basically the um I'm just gonna just recap uh what I said at the start , was that um the the whole point of this meeting was to f absolutely finalise who we're gonna aim this at , and what exactly the product's gonna do . So um just to recap on Are we all happy about the idea of um aiming the product at um the fifteen to thirty five bracket ? Um and also the funct the the actual functions of what it's gonna do . Do you wanna recap on that , Craig ?"
[30:41] Speaker_D | Okay .
[30:42] Speaker_D | Okay .
"[30:54] Speaker_D | Yeah , that's good ."
"[31:03] Speaker_C | Um . I think we just say that it was gonna be the the most basic stuff possible . Um on off , up and down channels , up and down volume and uh skip to a channel ."
"[31:14] Speaker_B | Okay , right ."
[31:14] Speaker_C | Ta .
"[31:14] Speaker_D | And is it going to include any of the uh the more advanced features , or are we gonna eliminate those ?"
"[31:20] Speaker_C | Um I think we include mute , but apart from that um I think we just we'll go for the simpleness ."
[31:27] Speaker_B | Okay .
"[31:28] Speaker_A | Okay , I think"
"[31:34] Speaker_B | Yeah , it's as optional functions ."
[31:35] Speaker_C | Yeah .
"[31:36] Speaker_D | 'Cause what what I'm I'd be a bit worried about is if someone was h had previously developed habits of expecting to control surround sound or this and that with their controller and then and then they , you know , w they get ours and w it's doesn't have that . I dunno if that'd be a problem ."
"[31:56] Speaker_A | Another thing that you were saying about categorising the controls ? Um maybe I could suggest we we break them down into three simple categories . One would be audio controls , one would be video controls , and the other one would be a device . Um this may not map very well to advanced functionality especially , but I think that um from a manufacturer's point of view , from a person designing the device , but I think from a point of view of a person using the device , you know a T_V_ is something they see and something they hear , um it's something they do other things to like turn it on and turn it off . I mean like so what we could have is like three buckets , right , where we could throw things into , like if we want this feature , let's throw it into there , and then from there decide whether it's basic , or it's non-basic . I mean it might help with the visualisation . And it would actually help with the component build as well ."
[31:59] Speaker_B | Mm-hmm .
[32:04] Speaker_D | Yeah . Okay .
[32:06] Speaker_B | Mm-hmm .
[32:08] Speaker_D | Okay .
[32:17] Speaker_D | Yeah .
[32:25] Speaker_B | Mm-hmm .
[32:29] Speaker_B | Yeah .
[32:30] Speaker_D | Right .
[32:35] Speaker_D | Yeah .
"[32:38] Speaker_D | 'Kay , okay . Like that ."
[32:40] Speaker_D | Okay .
"[32:43] Speaker_D | Mm-hmm . Mm okay , great ."
"[32:45] Speaker_B | Okay , right . Um , okay well I gotta kind of got five minutes to wrap up now . Um next thing we're doing is having lunch . Whoohoo . Um and then we're gonna have thirty minutes of working on the next stage . Um so I'll be putting the minutes of this uh this meeting into the project documents folder . Um so uh I guess just to just to confirm that we know what we're doing in the next well in the thirty minutes after lunch anyway , um for uh our Industrial Designer , you're gonna be thinking about the components concept . Um User Interface Designer gonna be thinking about our user interface , and marketing you're gonna be thinking about trend watching . Um and you'll all get specific instructions as well . So um I dunno , just just to to ask now if you've got anything else you've thought about while we've been talking . Um , do you wanna start with David . Anything else to say at all ? No , okay . Andrew ?"
[33:05] Speaker_D | Mm-hmm .
[33:11] Speaker_D | Mm-hmm .
"[33:42] Speaker_A | Mm no , not really ."
"[33:44] Speaker_D | Um yeah , just I just wanted to ask then before we wrap up , shall we agree for sake of um sort of clarity and when we when we r resume that we'll u use this idea David's proposed , where we think of these three sort of buckets and anything anything we discuss about them is sort of , okay , we're talking about this . Shall we do that , then ? Okay , great ."
"[33:57] Speaker_B | Yeah , yeah I think that's definitely a good idea ."
[34:01] Speaker_A | Mm .
[34:01] Speaker_B | Uh-huh . Yeah .
"[34:04] Speaker_C | Um just about the three buckets , um what would go in the the device functions one ?"
"[34:08] Speaker_A | Um things like on off . Because they don't have anything to do with what you see . I me mean in terms of picture and the entertainment value , you know , um so um And channel . Because the on off also goes , you know , like on off like power , not on off sound . Not on off video . Although you don't turn off the video on your T_V_ , but um you might wanna you know turn off the sound , say you wanna pick up the phone , there's a mute button , right , so you you have you have a choice of putting it on to um others or a device . Device is basically anything which we can't categorise , right . We put it out ."
[34:12] Speaker_B | Yeah .
[34:18] Speaker_B | Okay .
[34:20] Speaker_D | And and channel .
[34:21] Speaker_D | Right .
[34:26] Speaker_B | Yeah .
[34:31] Speaker_B | Okay .
[34:35] Speaker_B | Okay .
"[34:44] Speaker_B | Okay , so you're gonna have um audio which is gonna be like you know your bass settings and actual volume hi Okay ."
[34:49] Speaker_D | Mm-hmm .
"[34:50] Speaker_A | Yeah , anything to do with what you hear , right . You you put that into audio . And then video is anything that you can see . Um ."
[34:52] Speaker_D | Mm-hmm .
[34:53] Speaker_D | Mm-hmm .
[34:57] Speaker_D | Mm-hmm .
[34:59] Speaker_A | Yep .
"[35:00] Speaker_D | Colour , yeah ."
[35:02] Speaker_A | Yep .
[35:03] Speaker_D | Sure .
[35:04] Speaker_D | Sure .
[35:04] Speaker_A | Yep .
[35:05] Speaker_D | Okay .
"[35:08] Speaker_D | And then k I suppose quite likely what would happen is in the d device category there might be some which are just like the habitual standard and then others which are maybe a bit more Yeah . Sure , okay . Okay ."
[35:16] Speaker_B | Mm-hmm .
[35:18] Speaker_B | Yeah .
[35:20] Speaker_B | Okay .
[35:30] Speaker_B | Okay .
[35:33] Speaker_D | Okay .
[35:45] Speaker_D | Mm-hmm .
[35:47] Speaker_D | Mm-hmm .
[35:53] Speaker_D | Great .
